t,px,py,pz,vx,vy,vz,ax,ay,az
0.0,0.13026840499887538,0.2056482036043934,0.2696142245186494,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.1,0.13023487215714413,0.20559526698738453,0.2695448221864465,-0.0009905844083919052,-0.0015637859702517642,-0.002050195111325377,-0.01919943855173284,-0.030309191614120722,-0.03973673997439057
0.2,0.13001231157483342,0.20524392174794803,0.26908419246730136,-0.003721221912831973,-0.005874506574282585,-0.007701747482811808,-0.034838903178027805,-0.054998430771994664,-0.07210546458679194
0.30000000000000004,0.129444139399395,0.20434697680402303,0.26790825651817207,-0.007847267497895785,-0.012388087995391846,-0.016241351393331636,-0.04714544142127226,-0.07442614605210297,-0.09757609013862932
0.4,0.12840710104211106,0.2027098563123264,0.26576191648662245,-0.013046780902397652,-0.02059629927472703,-0.02700269275189971,-0.05634610082385355,-0.0889507660329268,-0.11661853293132791
0.5,0.12680900070267048,0.20018701538256783,0.26245435634780767,-0.019020526619390632,-0.030026752311283756,-0.03936644909767342,-0.06266792892815909,-0.09893071929294732,-0.129702709266313
0.6000000000000001,0.12458643089374487,0.19667835579166507,0.25785434274145996,-0.02549197389616653,-0.04024290186190577,-0.052760289599952714,-0.06633797327657619,-0.10472443441064566,-0.13729853544500975
0.7000000000000001,0.12170250196556476,0.19212564169795907,0.2518855258088746,-0.03220729673425584,-0.05084404554128486,-0.06665887505817995,-0.06758328141149221,-0.10669033996450292,-0.1398759277688434
0.8,0.11814457163049566,0.18650891535542916,0.24452174002989527,-0.03893537388942784,-0.061465323821961015,-0.08058385790194011,-0.06663090087529457,-0.10518686453300034,-0.13790480253923915
0.9,0.11392197448761421,0.1798429128279083,0.23578230505990022,-0.045467788871690555,-0.07177772003432233,-0.09410388219096073,-0.06370787921037059,-0.10057243669461907,-0.13185507605762226
1.0,0.10906375154728434,0.17217347970329827,0.22572732656678784,-0.05161882994529065,-0.08148806036660489,-0.10683458361511163,-0.05904126395910765,-0.09320548502784022,-0.12219666462541796
1.1,0.10361637975573335,0.16357398680778473,0.2144529970679622,-0.05722549012871369,-0.09033901386489314,-0.11843858949440556,-0.05285810266389308,-0.0834444381111449,-0.10939948454405138
1.2000000000000002,0.09764150151962808,0.15414174592005261,0.20208689676731917,-0.062147467194683816,-0.0981090924331194,-0.1286255187789974,-0.04538544286711433,-0.07164772452301438,-0.0939334521149479
1.3,0.09121365423065098,0.14399442548550118,0.1887832943922319,-0.06626716367016398,-0.1046126508330642,-0.13715198204918472,-0.03685033211115862,-0.058173772841929594,-0.07626848363953245
1.4000000000000001,0.08441799979007628,0.1332664663304592,0.17471844803053677,-0.06948968683635591,-0.10969988668435625,-0.1438215815154077,-0.027479817938413413,-0.0433810116463719,-0.05687449541923053
1.5,0.0773480541333461,0.12210549737640009,0.16008590596751884,-0.07174284872869996,-0.11325684046447222,-0.14848491101824882,-0.017500947891266133,-0.02762786951482248,-0.03622140375546739
1.6,0.07010341675464662,0.11066875135415738,0.14509180752289796,-0.07297716613687527,-0.115205395508737,-0.15103955602843322,-0.007140769512104002,-0.011272775025762282,-0.014779124949668002
1.7000000000000002,0.06278750023148409,0.09911948051813954,0.12995018388781415,-0.07316586060479985,-0.1155032780103237,-0.15143009364682872,0.003373669656685588,0.005325843242327496,0.0069824246967423575
1.8,0.05550525974926114,0.08762337236054545,0.11487825896181383,-0.0723048584306302,-0.11414405702025329,-0.14964809260444534,0.013815322072715071,0.021809556710965385,0.02859332888233805
