t,px,py,pz,vx,vy,vz,ax,ay,az
0.0,0.1995107231370143,-0.1986175746369906,0.26656587626952155,-0.0,0.0,-0.0,-0.0,0.0,-0.0
0.1,0.19950944861305667,-0.198616305818687,0.26656417338062294,-3.806934420429597e-05,3.7898919391341916e-05,-5.08643742915765e-05,-0.0007547434963265848,0.0007513647404830515,-0.0010084112687960723
0.2,0.19950065958124427,-0.19860755613268247,0.2665524303728798,-0.00014963161492626822,0.00014896175994140237,-0.00019992250002047294,-0.0014699744624817076,0.001463393836309865,-0.0019640299254298985
0.30000000000000004,0.19947720315225487,-0.198584204710953,0.2665210902852424,-0.0003307703387872252,0.000329289581125206,-0.00044194158497551475,-0.0021463884912344597,0.002136779766293407,-0.0028677853500024783
0.4,0.19943231460614033,-0.19853951711713316,0.26646111478898166,-0.000577638601685384,0.0005750526902990734,-0.0007717817749556269,-0.0027846811753539295,0.0027722150092466397,-0.003720606922614807
0.5,0.1993596104363988,-0.1984671384217277,0.2663639748938879,-0.0008864590487958713,0.0008824906427006222,-0.0011843961537698342,-0.0033855481076092105,0.0033703920439825314,-0.004523424023367886
0.6000000000000001,0.1992530813940471,-0.19836108627732357,0.2662216416544703,-0.0012535238845707232,0.0012479122414487676,-0.0016748307432372627,-0.003949684880769392,0.003932003349314048,-0.005277166032362714
0.7000000000000001,0.19910708553169296,-0.19821574399380182,0.2660265768761555,-0.0016751948727388828,0.0016676955375437184,-0.0022382245031871357,-0.004477787087603563,0.004457741404054152,-0.005982762329700286
0.8,0.19891634124760743,-0.19802585361354932,0.26577172382148667,-0.002147903336306205,0.002138287829866983,-0.002869809331458778,-0.004970550320880815,0.00494829868701581,-0.006641142295481604
0.9,0.19867592032979708,-0.1977865089866708,0.2654504979163225,-0.0026681501575554515,0.0026562056651813644,-0.003564910063901614,-0.005428670173370239,0.00540436767701199,-0.007253235309807666
1.0,0.19838124100007637,-0.19749314884620062,0.26505677745603645,-0.003232505778046294,0.003218034838130963,-0.0043189444743751675,-0.0058528422378409245,0.005826640852855652,-0.007819970752779466
1.1,0.19802806095813996,-0.19714154988331467,0.2645848943117153,-0.0038376101986153143,0.003820430391241176,-0.005127423274749065,-0.0062437621070619625,0.006215810693359766,-0.00834227800449801
1.2000000000000002,0.197612470425635,-0.19672781982254223,0.2640296246363584,-0.004480172979376003,0.0044601166149186985,-0.005985950114903031,-0.006602125373802445,0.006572569677337296,-0.008821086445064292
1.3,0.19713088519023345,-0.19624839049697784,0.2633861795710768,-0.005156973239718755,0.005133887047451515,-0.006890221582726882,-0.00692862763083146,0.006897610283601205,-0.009257325454579307
1.4000000000000001,0.19658003964970436,-0.1957000109234932,0.2626501959512918,-0.005864859658310883,0.0058386044750089175,-0.00783602720412055,-0.007223964470918099,0.007191624990964462,-0.009651924413144062
1.5,0.19595697985598623,-0.19507974037794898,0.2618177270129345,-0.0066007504730965965,0.006571200931641482,-0.008819249442994049,-0.007488831486831454,0.007455306278240032,-0.010005812700859549
1.6,0.1952590565592593,-0.19438494147040677,0.26088523309864414,-0.007361633481297032,0.007328677699281099,-0.009835863701267515,-0.007723924271340611,0.007689346624240877,-0.010319919697826764
1.7000000000000002,0.19448391825201783,-0.19361327322034086,0.2598495723639677,-0.008144566039410219,0.008108105307740934,-0.010881938318871163,-0.007929938417214667,0.007894438507779968,-0.010595174784146717
1.8,0.19362950421314243,-0.1927626841318502,0.25870799148355866,-0.008946675063211097,0.008906623534715465,-0.011953634573745315,-0.008107569517222708,0.008071274407670262,-0.010832507339920394
1.9000000000000001,0.19269403755197237,-0.19183140526887016,0.25745811635737575,-0.009765157027751527,0.009721441405780457,-0.013047206681840397,-0.008257513164133826,0.008220546802724733,-0.011032846745248799
2.0,0.19167601825237793,-0.1908179433303846,0.2560979428168823,-0.010597277967360267,0.010549837194392982,-0.01415900179711693,-0.008380464950717108,0.008342948171756343,-0.011197122380232932
2.1,0.1905742162168326,-0.18972107372563746,0.2546258273312451,-0.011440373475642994,0.0113891584218914,-0.015285460011545545,-0.00847712046974165,0.008439170993578054,-0.011326263624973788
2.2,0.18938766431048554,-0.1885398336493449,0.2530404777135333,-0.012291848705482276,0.012236821857495361,-0.016423114355106946,-0.00854817531397654,0.008509907747002837,-0.011421199859572366
2.3000000000000003,0.1881156514052337,-0.18727351515690693,0.25134094382691735,-0.01314917836903761,0.013090313518305832,-0.01756859079579197,-0.008594325076190871,0.008555850910843654,-0.01148286046412967
2.4000000000000004,0.18675771542379432,-0.1859216582396195,0.24952660829086848,-0.014009906737745409,0.013947188669305065,-0.018718608239601548,-0.008616265349153726,0.008577692963913471,-0.01151217481874669
2.5,0.18531363638377718,-0.18448404389988626,0.24759717718735702,-0.014871647642318945,0.01480507182335659,-0.019869978530546666,-0.008614691725634201,0.008576126385025251,-0.011510072303524424
2.6,0.18378342944175677,-0.18296068722643039,0.24555267076705173,-0.015732084472748466,0.015661656741205274,-0.02101960645064848,-0.008590299798401391,0.008551843652991968,-0.011477482298563883
2.7,0.1821673379373448,-0.18135183046950654,0.24339341415551882,-0.016588970178301087,0.01651470643147725,-0.022164489719938202,-0.00854378516022438,0.00850553724662658,-0.011415334183966055
2.8000000000000003,0.1804658264372624,-0.17965793611611267,0.2411200280594209,-0.017440127267520842,0.017362053150679957,-0.023301718996457152,-0.008475843403872257,0.008437899644742052,-0.011324557339831938
2.9000000000000004,0.17867957377941243,-0.17787967996520196,0.23873341947271584,-0.018283447808228673,0.018201598403202124,-0.024428477876256755,-0.008387170122114115,0.008349623326151346,-0.01120608114626253
